 -18.00,  44.00,   620.4065,     0.0027,     0.0357,"     0.1222
"
 -17.00,  44.00,   649.6115,     0.0116,     1.3614,"     8.0649
"
 -16.00,  44.00,   652.4219,     0.0089,     1.0178,"     7.9427
"
 -15.00,  44.00,   640.0801,     0.2960,    32.2110,"     9.4091
"
 -14.00,  44.00,   639.8358,     0.2438,    26.7297,"     9.5313
"
 -13.00,  44.00,   640.0801,     0.2817,    30.6949,"     9.4091
"
 -12.00,  44.00,   640.4467,     0.3049,    33.3716,"     9.5313
"
 -11.00,  44.00,   635.6810,     0.6421,    69.4705,"     9.5313
"
 -10.00,  44.00,   635.5588,     0.6668,    72.5803,"     9.6535
"
  -9.00,  44.00,   635.6810,     0.6195,    67.0239,"     9.5313
"
  -8.00,  44.00,   635.6810,     0.5981,    64.7937,"     9.4091
"
  -7.00,  44.00,   635.5588,     0.5688,    61.4435,"     9.4091
"
  -6.00,  44.00,   632.7484,     0.7077,    76.6025,"     9.6535
"
  -5.00,  44.00,   632.5040,     0.7571,    81.4093,"     9.4091
"
  -4.00,  44.00,   632.5040,     0.7483,    80.5624,"     9.5313
"
  -3.00,  44.00,   632.8705,     0.7626,    82.2787,"     9.5313
"
  -2.00,  44.00,   632.8705,     0.7996,    86.4249,"     9.5313
"
  -1.00,  44.00,   633.1149,     0.7993,    86.0443,"     9.4091
"
   0.00,  44.00,   632.5040,     0.7498,    80.8731,"     9.5313
"
   1.00,  44.00,   632.6262,     0.7455,    79.8361,"     9.5313
"
   2.00,  44.00,   632.5040,     0.8966,    96.5567,"     9.5313
"
   3.00,  44.00,   632.7484,     0.8972,    96.4993,"     9.5313
"
   4.00,  44.00,   632.6262,     0.8899,    96.0312,"     9.5313
"
   5.00,  44.00,   632.6262,     0.8591,    92.7405,"     9.6535
"
   6.00,  44.00,   632.6262,     0.8423,    90.5475,"     9.5313
"
   7.00,  44.00,   635.5588,     0.5478,    59.3649,"     9.4091
"
   8.00,  44.00,   635.5588,     0.5667,    61.1774,"     9.4091
"
   9.00,  44.00,   634.9479,     0.6250,    67.7240,"     9.4091
"
  10.00,  44.00,   635.5588,     0.6229,    67.4167,"     9.5313
"
  11.00,  44.00,   634.9479,     0.7471,    81.3568,"     9.5313
"
  12.00,  44.00,   638.1250,     0.0372,     4.2847,"     9.0425
"
  13.00,  44.00,   638.3694,     0.0183,     2.1249,"     7.2095
"
  14.00,  44.00,   638.3694,     0.0119,     1.5250,"     7.4540
"
  15.00,  44.00,   612.3416,     0.0024,     0.0400,"     0.1222
"
  16.00,  44.00,   620.4065,     0.0027,     0.0534,"     0.1222
"
  17.00,  44.00,   643.9904,     0.0027,     0.0723,"     0.2444
"
  18.00,  44.00,   630.0600,     0.0024,     0.0357,"     0.2444
"
  19.00,  44.00,   620.4065,     0.0024,     0.0397,"     0.0000
"
  20.00,  44.00,   620.4065,     0.0024,     0.0397,"     0.0000
"
  21.00,  44.00,   626.3942,     0.0024,    -0.0043,"     0.1222
"
  22.00,  44.00,   620.4065,     0.0024,     0.0366,"     0.1222
"
